Code,Move
10,Make a statement
11,Decline comment
12,Make a pessimistic comment
13,Make optimistic comment
14,Consider policy option
15,Acknowledge or claim responsibility
16,Deny responsibility
17,Engage in symbolic act
18,Make empathetic comment
19,Express accord
20,Make an appeal or request
21,Appeal for material cooperation
211,Appeal for economic cooperation
212,Appeal for military cooperation
213,Appeal for judicial cooperation
214,Appeal for intelligence
22,Appeal for diplomatic cooperation
23,Appeal for material aid
231,Appeal for economic aid
232,Appeal for military aid
233,Appeal for humanitarian aid
234,Appeal for military protection or peacekeeping
24,Appeal for political reform
241,Appeal for change in leadership
242,Appeal for policy change
243,Appeal for rights
244,Appeal for change in institutions
25,Appeal to yield
251,Appeal for easing of administrative sanctions
252,Appeal for easing of political dissent
253,Appeal for release of persons or property
254,Appeal for easing of economic sanctions
255,Appeal for target to allow international involvment (non-mediation)
256,Appeal for target for de-escalation of military engagement
26,Appeal for others to meet or negotiate
27,Appeal for others to settle disputes
28,Appeal to engage in or accept mediation
29,Appeal to following
291,Appeal to religious following
292,Appeal to ethno-political following
293,Appeal to internet following
294,Appeal to build/increase information infrastructure
2943,Appeal to decrease censorship
2944,Appeal to increase information outlets
295,Appeal to build energy infrastructure
296,Appeal to build social infrastructure
297,Appeal to build political infrastructure
298,Appeal to build military infrastructure
299,Appeal  to build/increase economic infrastructure
29941,Appeal for government funds for alternative energy
29942,Appeal for alternative energy options
29943,Appeal for energy cooperation
29944,Appeal to share energy resources
29945,Express intent to reduce censorship
29946,Express intent to increase censorship
29947,Express intent to reduce information outlets
29948,Express intent to increase information outlets
29949,Express intent to gather/mine natural resources
29953,Express intent to raise oil prices
29954,Express intent to raise energy prices
29955,Express intent to share natural resources 
29956,Express intent to share energy resources
30,Express intent to cooperate
31,Express intent to engage in material cooperation
311,Express intent to cooperate economically
312,Express intent to cooperate militarily
313,Express intent to cooperate on judicial matters
314,Express intent to cooperate on intelligence
32,Express intent to engage in diplomatic cooperation (such as policy support)
33,Express intent to provide material aid
331,Express intent to provide economic aid
332,Express intent to provide military protection or peacekeeping
333,Express intent to provide humanitarian aid
34,Express intent to institute political reform 
341,Express intent to change leadership
342,Express intent to change policy
343,Express intent to provide rights
3431,Express intent to provide diplomatic guidence
344,Express intent to change institutions
35,Express intent to yield
351,Express intent to ease administrative sanctions
352,Express intent to ease popular dissent
353,Express intent to release persons or property
354,Express intent to ease economic sanctions
355,Expresss intent to allow international involvement
356,Express intent to de-escalate military engagement
36,Express intent to meet or negotiate
37,Express intent to settle dispute
38,Express intent to accept mediation
39,Express intent to mediate
3091,Express intent to build infrastructure
3092,Express intent to build energy infrastructure
3096,Express intent to build social infrastructure
3101,Express intent to build political infrastructure
3105,Express intent to build military infrastructure
3109,Express intent to build/increase information infrastructure
3112,Express intent to build/increase economic infrastructure
40,Consult
401,Consult with allies
402,Consult with cabinet
403,Call for a meeting (international organization
41,Discuss by telephone
42,Make a visit
43,Host a visit
44,"Meet at a ""third"" location"
45,Mediate
46,Engage in negotiation
50,Engage in diplomatic cooperation
51,Praise or endorse
52,Defend verbally
53,Rally support or on behalf of
54,Grant diplomatic recognition
55,Apologize
56,Forgive
57,Sign formal agreement 
60,Engage in material cooperation
61,Cooperate economically
62,Cooperate militarily
63,Engage in judicial cooperation
64,Share intelligence or information
70,Provide aid
71,Provide economic aid
72,Provide military aid
73,Provide humanitarian aid
74,Provide military protection or peacekeeping
75,Grant asylum
80,Yield
81,Ease administrative sanctions
811,Ease restrictions on political freedoms
812,Ease ban on political parties or politicians
813,Ease curfew
814,Ease state of emergency or martial law
82,Ease political dissent
83,Accede to requests or demands for political reform
831,Accede to demands for change in leadership
832,Accede to demands for change in policy
833,Accede to demands for rights
834,Accede to demands for change in institutions
84,Return
841,Return
842,Return
85,Ease economic sanctions
86,Allow international involvement
861,Receive deployment of peacekeepers
862,Receive inspectors
863,Allow humanitarian access
87,De-escalate military engagement
871,Declare truce
872,Ease military blockade
873,Demobilize armed forces
874,Retreat or surrender militarily
90,Investigate (non-specific)
91,Investigate crime
92,Investigate human rights abuses
93,Investigate military action
94,Investigate war crimes
100,Demand
101,Demand material cooperation
1011,Demand economic cooperation
1012,Demand military cooperation
1013,Demand judicial cooperation
1014,Demand intelligence cooperation
102,Demand diplomatic cooperation
103,Demand material aid
1031,Demand economic aid
1032,Demand military aid
1033,Demand humanitarian aid
1034,Demand military protection or peacekeeping
104,Demand political reform
1041,Demand leadership change
1042,Demand policy change
1043,Demand rights
1044,Demand change in institutions
105,Demand that target yields
1051,Demand easing of administrative sanctions
1052,Demand easing of political dissent
1053,Demand target yields persons or property
1054,Demand easing of economic sanctions
1055,Demand that target allows international involvement (non-mediation)
106,Demand meeting
107,Demand settling of dispute
108,Demand mediation
1080,Demand building of infrastructure
1081,Demand to build social infrastructure
10890,Demand to build military infrastructure
10894,Demand to build/increase information infrastructure
10897,Demand to build/increase economic infrastructure
10903,Demand to build energy infrastructure
10907,Demand to reduce censorship
110,Disapprove
111,Criticize or denounce
112,Accuse
1121,Accuse of crime
1122,Accuse of human rights abuses
1123,Accuse of aggression
1124,Accuse of war crimes
1125,Accuse of espionage
113,Rally opposition against
114,Complain officially
115,Bring lawsuit against
116,Find guilty or liable (legally)
1161,Secede from a federal union
1162,Violate international agreement 
120,Reject
121,Reject material cooperation
1211,Reject economic cooperation
1212,Reject military cooperation
1213,Reject judicial cooperation
1214,Reject intelligence cooperation
122,Reject request or demand for material aid
1221,Reject request for economic aid
1222,Reject request for military aid
1223,Reject request for humanitarian aid
1224,Reject request for military protection or peacekeeping
123,Reject request or demand for political reform
1231,Reject request for change in leadership
1232,Reject request for policy change
1233,Reject request for rights
1234,Reject request for change in institutions
124,Refuse to yield
1241,Refuse to ease administrative sanctions
1242,Refuse to ease popular dissent
1243,Refuse to release persons or property
1244,Reject to ease economic sanctions
1245,Refuse to allow international involvement (non-mediation)
1246,Refuse to de-escalate military engagement
125,Reject proposal to meet
126,Reject mediation
127,Reject plan
128,Defy norms
129,Veto
1290,Recall ambassador
1291,Refuse to reduce censorship
1293,Refuse to build energy infrastructure
1297,Refuse to build social infrastructure
1302,Refuse to build political infrastructure
1306,Refuse to build military infrastructure
1310,Refuse to build/increase information infrastructure
1313,Refuse to build/increase economic infrastructure
130,Threaten
131,Threaten non-force
1311,Threaten to reduce or stop aid
1312,Threaten with sanctions
11313,Threaten to reduce or break relations
132,Threaten with administrative sanctions
1321,Threaten with restrictions on political freedoms
13211,Threaten to reduce information outlets
11312,Threaten to increase censorhip
1322,Threaten to ban political parties or politicians
1323,Threaten to impose curfew
1324,Threaten to impose state of emergency or martial law
133,Threaten political dissent
134,Threaten to halt negotiations
135,Threaten to halt mediation
136,Threaten to halt international involvement
137,Threaten with repression
138,Threaten with military force
1381,Threaten blockade
1382,Threaten occupation
1383,Threaten unconventional attack
13831,Threaten cyber attack
1384,Threaten conventional attack
1385,Threaten unconventional mass violence
1386,Violate airspace
1387,Violate inland waters
139,Give ultimatum
140,Engage in political dissent
141,Demonstrate or rally
1411,Demonstrate for leadership change
1412,Demonstrate for policy change
1413,Demonstrate for rights
1414,Demonstrate for change in institutions
142,Conduct hunger strike
1421,Conduct hunger strike for leadership change
1422,Conduct hunger strike for policy change
1423,Conduct hunger strike for rights
1424,Conduct hunger strike for change in institutions
143,Conduct strike or boycott
1431,Conduct strike or boycott for leadership change
1432,Conduct strike  or boycott for policy change
1433,Conduct strike or boycott for rights
1434,Conduct strike or boycott for change in institutions
144,Obstruct passage
1441,Obstruct passage to demand leadership change
1442,Obstruct passage to demand policy change
1443,Obstruct passage to demand rights
1444,Obstruct passage to demand change in institutions
145,Protests violently
1451,Engage in violent protest for leadership change
1452,Engage in violent protests for policy change
1453,Engage in violent protests for rights
1454,Engage in violent protest for change in institutions
150,Demonstrate military or police power
151,Increase police alert status
152,Increase military alert status
153,Mobilize or increase police power
154,Mobilize or increase armed forces
155,Mobilize or increase cyber-forces
160,Reduce relations
161,Reduce or break diplomatic relations
162,Redue or stop material aid
1621,Reduce or stop economic assistance
1622,Reduce or stop military assistance
1623,Reduce or stop humanitarian assistance
163,Impose embargo
164,Halt negotiations
165,Halt mediation
166,Expel or withdraw
1661,Expel or withdraw peacekeepers
1662,Expel or withdraw inspectors
1663,Expel or withdraw aid agencies
170,Coerce
171,Seize or damage property
1711,Confiscate property
1712,Destroy property
172,Impose administrative sanctions
1721,Impose restrictions on political freedoms
1722,Ban political parties or politicians
1723,Impose curfew
1724,Impose state of emergency or martial law
173,Arrest
174,Expel or deport individuals
175,Use tactics of violence repression
176,Attack cybernetically
180,Use unconvenitional violence
181,Abduct
182,Physically assault
1821,Sexually assault
1822,Torture
1823,Kill by phsyical assault
183,Conduct suicide
1830,Conduct cyber attack
1831,Carry out suicide bombing
1832,Carry out vehicular bombing
1833,Carry out roadside bombing
1834,Carry out location bombing
184,Use as a human shield
185,Attempt to assassinate
186,Assassinate
190,Use conventional violence
191,Impose blockade
192,Occupy territory
193,Fight with small arms and light weapons
194,Fight with artillery tanks
195,Employ aerial weapons
1951,Employ precision-guided aerial munitions
1952,Employ remotely piloted aerial munitions
196,Violate ceasefire
200,Use unconventional mass violence
201,Engage in mass expulsion
202,Engage in mass killings
203,Engage in ethnic cleansing
204,Use weapons of mass destruction
2041,Use chemical
2042,Detonate nuclear weapons
2043,Build a religious following
2044,Build an ethno-political following
2045,Build an internet following
2046,Increase censorship
2047,Reduce information outlets
2048,Build energy infrastructure (unspecified)
2052,Build social infrastructure (unspecified)
2057,Build political infrastructure (unspecified)
2061,Build military infrastructure (unspecified)
2065,Build/increase information infrastructure (unspecified)
2068,Build/increase economic infrastructure (unspecified)
2074,Gather/mine natural resources (unspecified)
2077,Raise oil prices
2078,Lower oil prices
2079,Raise energy prices
2080,Lower energy prices
2081,Raise energy prices
2082,Spend more government funds on alternative energy
2083,Spend less government funds on alternative energy
